Pressure Vapor	Temperature	Volume Vapor	Enthalpy Vapor	Entropy Vapor
10.0000	-85.0000	2.1363	383.5000	2.1134
10.0000	-80.0000	2.1951	386.8000	2.1304
10.0000	-75.0000	2.2538	390.1000	2.1472
10.0000	-70.0000	2.3123	393.4000	2.1637
10.0000	-65.0000	2.3707	396.7000	2.1800
10.0000	-60.0000	2.4290	400.1000	2.1962
10.0000	-55.0000	2.4872	403.6000	2.2121
10.0000	-50.0000	2.5453	407.0000	2.2278
10.0000	-45.0000	2.6033	410.5000	2.2434
10.0000	-40.0000	2.6613	414.1000	2.2588
10.0000	-35.0000	2.7192	417.7000	2.2740
10.0000	-30.0000	2.7770	421.3000	2.2891
10.0000	-25.0000	2.8348	425.0000	2.3040
10.0000	-20.0000	2.8926	428.7000	2.3188
10.0000	-15.0000	2.9503	432.4000	2.3334
10.0000	-10.0000	3.0079	436.2000	2.3479
10.0000	-5.0000	3.0656	440.0000	2.3623
10.0000	0.0000	3.1232	443.9000	2.3766
10.0000	5.0000	3.1808	447.8000	2.3908
10.0000	10.0000	3.2383	451.7000	2.4048
10.0000	15.0000	3.2958	455.7000	2.4187
10.0000	20.0000	3.3534	459.7000	2.4325
10.0000	25.0000	3.4109	463.8000	2.4462
10.0000	30.0000	3.4683	467.9000	2.4598
10.0000	35.0000	3.5258	472.0000	2.4733
10.0000	40.0000	3.5833	476.2000	2.4868
10.0000	45.0000	3.6407	480.4000	2.5001
10.0000	50.0000	3.6981	484.6000	2.5133
10.0000	55.0000	3.7555	488.9000	2.5264
10.0000	60.0000	3.8130	493.2000	2.5395
10.0000	65.0000	3.8704	497.6000	2.5524
20.0000	-75.0000	1.1188	389.4000	2.0651
20.0000	-70.0000	1.1487	392.7000	2.0819
20.0000	-65.0000	1.1784	396.2000	2.0985
20.0000	-60.0000	1.2081	399.6000	2.1148
20.0000	-55.0000	1.2377	403.1000	2.1309
20.0000	-50.0000	1.2672	406.6000	2.1468
20.0000	-45.0000	1.2966	410.1000	2.1625
20.0000	-40.0000	1.3259	413.7000	2.1780
20.0000	-35.0000	1.3551	417.3000	2.1934
20.0000	-30.0000	1.3844	421.0000	2.2086
20.0000	-25.0000	1.4135	424.7000	2.2236
20.0000	-20.0000	1.4426	428.4000	2.2385
20.0000	-15.0000	1.4717	432.2000	2.2532
20.0000	-10.0000	1.5007	436.0000	2.2678
20.0000	-5.0000	1.5297	439.8000	2.2822
20.0000	0.0000	1.5587	443.7000	2.2966
20.0000	5.0000	1.5876	447.6000	2.3108
20.0000	10.0000	1.6166	451.5000	2.3248
20.0000	15.0000	1.6455	455.5000	2.3388
20.0000	20.0000	1.6743	459.5000	2.3527
20.0000	25.0000	1.7032	463.6000	2.3664
20.0000	30.0000	1.7320	467.7000	2.3800
20.0000	35.0000	1.7609	471.8000	2.3936
20.0000	40.0000	1.7897	476.0000	2.4070
20.0000	45.0000	1.8185	480.2000	2.4204
20.0000	50.0000	1.8473	484.5000	2.4336
20.0000	55.0000	1.8761	488.8000	2.4468
20.0000	60.0000	1.9048	493.1000	2.4598
20.0000	65.0000	1.9336	497.4000	2.4728
20.0000	70.0000	1.9624	501.8000	2.4857
20.0000	75.0000	1.9911	506.3000	2.4985
30.0000	-70.0000	0.7607	392.1000	2.0331
30.0000	-65.0000	0.7810	395.6000	2.0499
30.0000	-60.0000	0.8011	399.0000	2.0664
30.0000	-55.0000	0.8211	402.6000	2.0827
30.0000	-50.0000	0.8411	406.1000	2.0988
30.0000	-45.0000	0.8609	409.7000	2.1146
30.0000	-40.0000	0.8807	413.3000	2.1303
30.0000	-35.0000	0.9005	416.9000	2.1458
30.0000	-30.0000	0.9201	420.6000	2.1610
